timestamp,Toevoer bijgebouw
2023-05-06,0.0
2023-05-07,0.0
2023-05-08,63.0
2023-05-09,65.0
2023-05-10,62.0
2023-05-11,62.0
2023-05-12,56.0
2023-05-13,0.0
2023-05-14,0.0
2023-05-15,61.0
2023-05-16,63.0
2023-05-17,63.0
2023-05-18,0.0
2023-05-19,0.0
2023-05-20,0.0
2023-05-21,0.0
2023-05-22,60.0
2023-05-23,64.0
2023-05-24,61.0
2023-05-25,60.0
2023-05-26,54.0
2023-05-27,0.0
2023-05-28,0.0
2023-05-29,0.0
2023-05-30,61.0
2023-05-31,58.0
2023-06-01,59.0
2023-06-02,52.0
2023-06-03,0.0
2023-06-04,0.0
2023-06-05,62.0
2023-06-06,61.0
2023-06-07,61.0
2023-06-08,60.0
2023-06-09,59.0
2023-06-10,0.0
2023-06-11,0.0
2023-06-12,68.0
2023-06-13,61.0
2023-06-14,63.0
2023-06-15,58.0
2023-06-16,55.0
2023-06-17,0.0
2023-06-18,0.0
2023-06-19,62.0
2023-06-20,67.0
2023-06-21,63.0
2023-06-22,63.0
2023-06-23,56.0
2023-06-24,0.0
2023-06-25,0.0
2023-06-26,58.0
2023-06-27,66.0
2023-06-28,63.0
2023-06-29,63.0
2023-06-30,51.0
2023-07-01,0.0
2023-07-02,0.0
2023-07-03,60.0
2023-07-04,59.0
2023-07-05,58.0
2023-07-06,63.0
2023-07-07,58.0
2023-07-08,0.0
2023-07-09,0.0
2023-07-10,66.0
2023-07-11,64.0
2023-07-12,64.0
2023-07-13,62.0
2023-07-14,55.0
2023-07-15,0.0
2023-07-16,0.0
2023-07-17,60.0
2023-07-18,64.0
2023-07-19,62.0
2023-07-20,60.0
2023-07-21,55.0
2023-07-22,0.0
2023-07-23,0.0
2023-07-24,60.0
2023-07-25,61.0
2023-07-26,59.0
2023-07-27,58.0
2023-07-28,58.0
2023-07-29,0.0
2023-07-30,0.0
2023-07-31,59.0
2023-08-01,84.0
2023-08-02,59.0
2023-08-03,57.0
2023-08-04,54.0
2023-08-05,0.0
2023-08-06,0.0
2023-08-07,61.0
2023-08-08,62.0
2023-08-09,61.0
2023-08-10,57.0
2023-08-11,54.0
2023-08-12,0.0
2023-08-13,0.0
2023-08-14,62.0
2023-08-15,59.0
2023-08-16,59.0
2023-08-17,59.0
2023-08-18,51.0
2023-08-19,0.0
2023-08-20,0.0
2023-08-21,58.0
2023-08-22,63.0
2023-08-23,62.0
2023-08-24,59.0
2023-08-25,57.0
2023-08-26,0.0
2023-08-27,0.0
2023-08-28,62.0
2023-08-29,61.0
2023-08-30,56.0
2023-08-31,59.0
2023-09-01,51.0
2023-09-02,0.0
2023-09-03,0.0
2023-09-04,69.0
2023-09-05,64.0
2023-09-06,61.0
2023-09-07,61.0
2023-09-08,53.0
2023-09-09,0.0
2023-09-10,0.0
2023-09-11,66.0
2023-09-12,65.0
2023-09-13,64.0
2023-09-14,64.0
2023-09-15,50.0
2023-09-16,0.0
2023-09-17,0.0
2023-09-18,64.0
2023-09-19,60.0
2023-09-20,64.0
2023-09-21,59.0
2023-09-22,53.0
2023-09-23,0.0
2023-09-24,0.0
2023-09-25,60.0
2023-09-26,63.0
2023-09-27,63.0
2023-09-28,62.0
2023-09-29,55.0
2023-09-30,0.0
2023-10-01,0.0
2023-10-02,68.0
2023-10-03,65.0
2023-10-04,61.0
2023-10-05,61.0
2023-10-06,54.0
2023-10-07,0.0
2023-10-08,0.0
2023-10-09,62.0
2023-10-10,65.0
2023-10-11,62.0
2023-10-12,62.0
2023-10-13,55.0
2023-10-14,0.0
2023-10-15,0.0
2023-10-16,58.0
2023-10-17,64.0
2023-10-18,63.0
2023-10-19,60.0
2023-10-20,58.0
2023-10-21,0.0
2023-10-22,0.0
2023-10-23,59.0
2023-10-24,64.0
2023-10-25,60.0
2023-10-26,58.0
2023-10-27,52.0
2023-10-28,0.0
2023-10-29,0.0
2023-10-30,60.0
2023-10-31,63.0
2023-11-01,63.0
2023-11-02,59.0
2023-11-03,54.0
2023-11-04,0.0
2023-11-05,0.0
2023-11-06,60.0
2023-11-07,63.0
2023-11-08,57.0
2023-11-09,60.0
2023-11-10,53.0
2023-11-11,0.0
2023-11-12,0.0
2023-11-13,64.0
2023-11-14,70.0
2023-11-15,61.0
2023-11-16,62.0
2023-11-17,52.0
2023-11-18,0.0
2023-11-19,0.0
2023-11-20,62.0
2023-11-21,63.0
2023-11-22,58.0
2023-11-23,62.0
2023-11-24,51.0
2023-11-25,0.0
2023-11-26,0.0
2023-11-27,67.0
2023-11-28,62.0
2023-11-29,61.0
2023-11-30,57.0
2023-12-01,52.0
2023-12-02,0.0
2023-12-03,0.0
2023-12-04,59.0
2023-12-05,62.0
2023-12-06,60.0
2023-12-07,62.0
2023-12-08,47.0
2023-12-09,0.0
2023-12-10,0.0
2023-12-11,62.0
2023-12-12,66.0
2023-12-13,41.0
2023-12-14,62.0
2023-12-15,52.0
2023-12-16,0.0
2023-12-17,0.0
2023-12-18,58.0
2023-12-19,63.0
2023-12-20,57.0
2023-12-21,57.0
2023-12-22,48.0
2023-12-23,0.0
2023-12-24,0.0
2023-12-25,0.0
2023-12-26,0.0
2023-12-27,35.0
2023-12-28,40.0
2023-12-29,34.0
2023-12-30,0.0
2023-12-31,0.0
2024-01-01,0.0
2024-01-02,53.0
2024-01-03,53.0
2024-01-04,57.0
2024-01-05,49.0
2024-01-06,0.0
2024-01-07,0.0
2024-01-08,59.0
2024-01-09,69.0
2024-01-10,60.0
2024-01-11,60.0
2024-01-12,54.0
2024-01-13,0.0
2024-01-14,0.0
2024-01-15,63.0
2024-01-16,62.0
2024-01-17,60.0
2024-01-18,57.0
2024-01-19,52.0
2024-01-20,0.0
2024-01-21,0.0
2024-01-22,47.0
2024-01-23,62.0
2024-01-24,57.0
2024-01-25,63.0
2024-01-26,55.0
2024-01-27,0.0
